stop_name,stop_id,stop_lat,stop_lon,subidas,stop_url,página wikipedia
Plaza de Maipú,PM,-33.510522,-70.757230,41223.8,http://www.metro.cl/estacion/plaza-maipu,
Plaza de Puente Alto,PP,-33.609547,-70.575905,45503.4,http://www.metro.cl/estacion/plaza-puente-alto,
Príncipe de Gales,GA,-33.439163,-70.573090,10376.6,http://www.metro.cl/estacion/principe-de-gales,
Protectora de la Infancia,PI,-33.589287,-70.579704,13418.8,http://www.metro.cl/estacion/protectora-de-la-infancia,
Pudahuel,PU,-33.444830,-70.740722,19242.4,http://www.metro.cl/estacion/pudahuel,
Quilín,RQ,-33.487999,-70.580231,10298.6,http://www.metro.cl/estacion/quilin,
Quinta Normal,QN,-33.440282,-70.680357,16288,http://www.metro.cl/estacion/quinta-normal,
República,RP,-33.447952,-70.667564,40672.4,http://www.metro.cl/estacion/republica,
Rodrigo de Araya,RA,-33.477516,-70.622314,11583.6,http://www.metro.cl/estacion/rodrigo-de-araya,
Rojas Magallanes,RM,-33.535854,-70.592773,5618.4,http://www.metro.cl/estacion/rojas-magallanes,
Rondizzoni,RO,-33.470043,-70.656331,18559.8,http://www.metro.cl/estacion/rondizzoni,
Salvador,SA,-33.433107,-70.626585,31281,http://www.metro.cl/estacion/salvador,
San Alberto Hurtado,AH,-33.454113,-70.692436,19439.2,http://www.metro.cl/estacion/san-alberto-hurtado,
San Joaquín,SJ,-33.498318,-70.616020,21386.6,http://www.metro.cl/estacion/san-joaquin,
San José de la Estrella,JE,-33.553356,-70.586562,9588.4,http://www.metro.cl/estacion/san-jose-de-la-estrella,
San Miguel,SM,-33.488798,-70.651178,13737.4,http://www.metro.cl/estacion/san-miguel,
San Pablo,SP,-33.444226,-70.723315,30324.6,http://www.metro.cl/estacion/san-pablo-l1,
San Ramón,RN,-33.541194,-70.643671,5603.6,http://www.metro.cl/estacion/san-ramon,
Santa Ana,AN,-33.438254,-70.659823,62168.6,http://www.metro.cl/estacion/santa-ana-l2,
Santa Isabel,SI,-33.447102,-70.630402,14831.8,http://www.metro.cl/estacion/santa-isabel,
Santa Julia,JU,-33.531105,-70.605499,4710.4,http://www.metro.cl/estacion/santa-julia,
Santa Lucía,SL,-33.442691,-70.645720,40903,http://www.metro.cl/estacion/santa-lucia,
Santa Rosa,SR,-33.542511,-70.634125,21030.8,http://www.metro.cl/estacion/santa-rosa,
Santiago Bueras,BU,-33.496645,-70.757567,6830.8,http://www.metro.cl/estacion/santiago-bueras,
Simón Bolivar,SB,-33.445904,-70.572037,6859,http://www.metro.cl/estacion/simon-bolivar,
Tobalaba,TB,-33.418145,-70.601353,61449,http://www.metro.cl/estacion/tobalaba-l1,
Toesca,TO,-33.452965,-70.658577,18020,http://www.metro.cl/estacion/toesca,
Trinidad,TR,-33.547020,-70.587654,8331.4,http://www.metro.cl/estacion/trinidad,
Unión Latino Americana,LA,-33.449467,-70.673203,18675,http://www.metro.cl/estacion/union-latinoamericana,
Universidad Católica,UC,-33.440216,-70.640549,22534.8,http://www.metro.cl/estacion/universidad-catolica,
Universidad de Chile,CH,-33.443809,-70.650391,67432.4,http://www.metro.cl/estacion/universidad-de-chile,
Universidad de Santiago,US,-33.452896,-70.686150,30880.2,http://www.metro.cl/estacion/universidad-de-santiago,
Vespucio Norte,AV,-33.380429,-70.646821,26138.4,http://www.metro.cl/estacion/vespucio-norte,
Vicente Valdés,VA,-33.526337,-70.596756,30484,http://www.metro.cl/estacion/vicente-valdes-l4,
Vicuña Mackenna,VM,-33.519642,-70.596069,16033.6,http://www.metro.cl/estacion/vicuna-mackenna-l4,
Zapadores,ZA,-33.390938,-70.642441,16918.8,http://www.metro.cl/estacion/zapadores,
