stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PR,,Lo Prado,-33.443298,-70.716412,http://www.metro.cl/estacion/lo-prado
PT,,Patronato,-33.429630,-70.647064,http://www.metro.cl/estacion/patronato
PU,,Pudahuel,-33.444830,-70.740722,http://www.metro.cl/estacion/pudahuel
PV,,Pedro de Valdivia,-33.425465,-70.614273,http://www.metro.cl/estacion/pedro-de-valdivia
PZ,,Plaza de Armas,-33.437260,-70.650551,http://www.metro.cl/estacion/plaza-de-armas
QN,,Quinta Normal,-33.440282,-70.680357,http://www.metro.cl/estacion/quinta-normal
RA,,Rodrigo de Araya,-33.477516,-70.622314,http://www.metro.cl/estacion/rodrigo-de-araya
RC,,Cumming,-33.439098,-70.668427,http://www.metro.cl/estacion/cumming
RG,,Grecia,-33.468819,-70.576202,http://www.metro.cl/estacion/grecia
RM,,Rojas Magallanes,-33.535854,-70.592773,http://www.metro.cl/estacion/rojas-magallanes
RN,,San Ramón,-33.541194,-70.643671,http://www.metro.cl/estacion/san-ramon
RO,,Rondizzoni,-33.470043,-70.656331,http://www.metro.cl/estacion/rondizzoni
RP,,República,-33.447952,-70.667564,http://www.metro.cl/estacion/republica
RQ,,Quilín,-33.487999,-70.580231,http://www.metro.cl/estacion/quilin
SA,,Salvador,-33.433107,-70.626585,http://www.metro.cl/estacion/salvador
SB,,Simón Bolivar,-33.445904,-70.572037,http://www.metro.cl/estacion/simon-bolivar
SI,,Santa Isabel,-33.447102,-70.630402,http://www.metro.cl/estacion/santa-isabel
SJ,,San Joaquín,-33.498318,-70.616020,http://www.metro.cl/estacion/san-joaquin
SL,,Santa Lucía,-33.442691,-70.645720,http://www.metro.cl/estacion/santa-lucia
SM,,San Miguel,-33.488798,-70.651178,http://www.metro.cl/estacion/san-miguel
SP,,San Pablo,-33.444226,-70.723315,http://www.metro.cl/estacion/san-pablo-l1
SR,,Santa Rosa,-33.542511,-70.634125,http://www.metro.cl/estacion/santa-rosa
TB,,Tobalaba,-33.418145,-70.601353,http://www.metro.cl/estacion/tobalaba-l1
TO,,Toesca,-33.452965,-70.658577,http://www.metro.cl/estacion/toesca
TR,,Trinidad,-33.547020,-70.587654,http://www.metro.cl/estacion/trinidad
UC,,Universidad Católica,-33.440216,-70.640549,http://www.metro.cl/estacion/universidad-catolica
US,,Universidad de Santiago,-33.452896,-70.686150,http://www.metro.cl/estacion/universidad-de-santiago
VA,,Vicente Valdés,-33.526337,-70.596756,http://www.metro.cl/estacion/vicente-valdes-l4
VM,,Vicuña Mackenna,-33.519642,-70.596069,http://www.metro.cl/estacion/vicuna-mackenna-l4
ZA,,Zapadores,-33.390938,-70.642441,http://www.metro.cl/estacion/zapadores
